
pkt_len,ttl,proto,sport,dport,flags,label
1166,64,6,443,443,16,0
1499,128,6,22,80,16,0
900,128,6,22,1024,2,0
1334,128,6,443,1024,16,0
1170,64,17,53,80,0,0
1135,128,6,443,8080,2,0
1084,64,6,22,80,16,0
161,64,6,443,1024,16,0
506,64,6,53,80,16,0
1278,128,6,443,443,16,0
370,128,6,53,80,2,0
127,64,6,53,1024,16,0
1436,128,6,443,80,16,0
1163,64,6,443,8080,2,0
911,64,6,80,80,16,0
170,64,6,22,8080,2,0
1372,64,6,53,443,16,0
809,64,6,80,8080,0,0
383,64,17,443,80,16,0
1477,64,6,22,1024,16,0
845,64,17,80,8080,16,0
425,64,17,53,443,16,0
1255,64,17,80,8080,2,0
995,64,17,53,8080,2,0
316,64,6,443,8080,2,0
1224,64,6,22,443,16,0
499,64,6,22,80,16,0
1377,64,6,22,8080,16,0
61,64,6,443,8080,16,0
292,128,6,53,1024,2,0
787,64,6,443,443,16,0
896,64,6,22,8080,16,0
514,128,17,443,443,16,0
1122,64,6,443,8080,2,0
550,64,6,443,80,2,0
739,64,17,53,80,2,0
1015,64,17,80,8080,16,0
229,128,6,80,80,16,0
997,64,17,443,8080,2,0
726,64,17,80,80,2,0
997,64,17,80,1024,16,0
602,128,6,443,1024,2,0
1307,64,6,443,1024,2,0
871,64,6,22,443,2,0
1194,64,6,80,443,2,0
686,128,6,53,1024,16,0
60,64,6,443,443,16,0
880,64,17,22,80,16,0
206,64,6,53,8080,2,0
1337,64,17,80,8080,2,0
427,64,6,22,8080,2,0
640,64,6,443,1024,16,0
355,64,17,53,443,2,0
53,64,6,443,80,2,0
281,128,6,80,80,2,0
816,128,17,53,1024,2,0
1409,64,6,80,80,2,0
604,128,6,80,80,16,0
937,64,17,22,80,16,0
1403,64,6,443,80,16,0
131,64,6,53,443,16,0
1430,64,6,80,80,2,0
995,64,17,80,8080,2,0
1491,64,6,53,1024,16,0
548,64,17,80,443,16,0
815,64,6,22,80,2,0
74,128,6,22,443,16,0
245,128,6,22,80,16,0
1144,64,17,22,8080,16,0
1451,128,6,80,1024,16,0
1065,128,6,53,80,16,0
1061,128,6,53,80,16,0
1453,64,6,53,80,16,0
605,128,6,53,80,2,0
1169,64,6,443,1024,16,0
742,128,6,53,1024,2,0
441,128,6,443,8080,16,0
769,64,6,443,1024,16,0
201,128,6,22,80,2,0
241,128,6,443,8080,16,0
1035,128,17,80,8080,16,0
309,64,6,443,8080,16,0
855,64,6,22,80,2,0
1334,64,17,443,443,16,0
495,128,6,80,80,16,0
1315,64,17,80,1024,2,0
1056,64,6,80,1024,16,0
335,64,6,22,80,2,0
759,64,6,22,80,2,0
377,128,6,53,8080,0,0
918,128,6,22,80,16,0
1116,64,6,80,8080,2,0
831,128,6,80,1024,16,0
256,64,6,22,8080,16,0
803,64,6,443,80,16,0
227,128,6,22,1024,2,0
419,64,6,22,443,16,0
532,64,6,80,8080,16,0
1104,128,6,53,1024,16,0
1220,64,6,80,8080,2,0
54,64,17,53,1024,2,0
104,64,6,80,1024,2,0
560,64,6,22,8080,16,0
1407,64,6,80,443,16,0
1192,64,6,80,1024,2,0
687,128,17,80,1024,16,0
1126,128,6,22,1024,16,0
1202,128,6,22,443,2,0
632,128,6,22,443,0,0
431,64,6,22,80,2,0
458,64,17,53,8080,2,0
328,64,6,53,443,0,0
418,64,17,443,8080,16,0
270,64,6,22,80,16,0
1057,64,6,53,8080,0,0
80,64,17,80,443,16,0
1091,128,6,22,8080,2,0
174,128,17,443,443,16,0
240,64,6,443,8080,16,0
819,64,6,443,443,2,0
969,64,6,80,443,0,0
1096,128,6,53,8080,2,0
1111,128,6,80,80,16,0
542,64,17,22,1024,2,0
446,64,17,443,80,16,0
844,64,17,80,8080,16,0
138,64,6,80,80,16,0
723,64,6,53,443,16,0
765,64,6,53,1024,16,0
1000,128,6,443,8080,0,0
652,64,6,80,8080,2,0
682,64,6,80,8080,2,0
1068,128,6,53,1024,16,0
1281,128,6,80,443,0,0
542,128,6,80,8080,0,0
806,64,6,80,80,2,0
437,64,6,53,8080,16,0
910,64,6,443,8080,16,0
834,64,17,22,8080,16,0
432,64,6,443,8080,16,0
246,64,6,22,443,16,0
1078,64,6,80,80,0,0
931,64,17,443,443,16,0
903,64,17,22,80,16,0
782,64,6,53,8080,16,0
1304,64,6,53,1024,16,0
603,64,6,443,443,16,0
